Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Quû §éc diÖn	0	103	2121	30	14000	0	200	12;20					21021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0					
Quû §éc diÖn	0	103	2122	30	14000	0	200	12;20					21022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0					
Quû §éc diÖn	0	103	2123	30	14000	0	200	12;20					21023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0					
Quû §éc diÖn	0	103	2124	30	14000	0	200	12;20					21024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	21	0					
Quû §éc diÖn	0	103	21219	30	0	0	200	12;20					921021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	21	0					
Quû §éc diÖn	0	103	21229	30	0	0	200	12;20					921022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	21	0					
Quû §éc diÖn	0	103	21239	30	0	0	200	12;20					921023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	21	0					
Quû §éc diÖn	0	103	21249	30	0	0	200	12;20					921024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bŞ cña ®Ö tö Ngò §éc, bªn trong cã tÈm chÊt kŞch ®éc lµm cho¸ng ®èi ph­¬ng	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	21	0					
Linh Phï §Çu Trang	0	103	23101	20	2	0	120	8;12					23101	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Çu søc cña ®Ö tö C«n L«n, cã linh phï bªn trong, cã thÓ khu trõ ¸c khİ.	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	23	0					
Linh Phï §Çu Trang	0	103	23102	20	2	0	120	8;12					23102	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Çu søc cña ®Ö tö C«n L«n, cã linh phï bªn trong, cã thÓ khu trõ ¸c khİ.	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	23	0					
Bİ Ph¸p §Çu Søc	0	103	23111	25	4000	0	150	10;15					23111	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao cña C«n L«n, cã ph¸p lùc ®Æc thï, cã thÓ hµng ma trõ yªu.	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	23	0					
Bİ Ph¸p §Çu Søc	0	103	23112	25	4000	0	150	10;15					23112	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao cña C«n L«n, cã ph¸p lùc ®Æc thï, cã thÓ hµng ma trõ yªu.	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Sa §Çu C©n	0	103	23121	30	14000	0	200	12;20					23121	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	TrÊn Yªu §¹o Nh©n diÖt yªu v« sè, nãn cña «ng ta Èn chøa tinh hoa ®¹o ph¸p, yªu ma ®Òu khiÕp sî.	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh Sa §Çu C©n	0	103	23122	30	14000	0	200	12;20					23122	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	TrÊn Yªu §¹o Nh©n diÖt yªu v« sè, nãn cña «ng ta Èn chøa tinh hoa ®¹o ph¸p, yªu ma ®Òu khiÕp sî.	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	23	0					
§¹p V©n §Çu Søc	0	103	29101	20	2	0	120	8;12					29101	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Çu søc ®­îc ®Ö tö Thóy Yªn Vò Tiªn dïng khi khëi vò, v« cïng tinh x¶o.	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	29	0					
§¹p V©n §Çu Søc	0	103	29102	20	2	0	120	8;12					29102	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Çu søc ®­îc ®Ö tö Thóy Yªn Vò Tiªn dïng khi khëi vò, v« cïng tinh x¶o.	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	29	0					
T©m Vò §Çu Søc	0	103	29111	25	4000	0	150	10;15					29111	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao cña Thóy Yªn M«n dïng khi khëi vò, ch©u quang b¶o khİ, v« cïng gi¸ trŞ	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	29	0					
T©m Vò §Çu Søc	0	103	29112	25	4000	0	150	10;15					29112	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao cña Thóy Yªn M«n dïng khi khëi vò, ch©u quang b¶o khİ, v« cïng gi¸ trŞ	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	29	0					
Thu NguyÖt Sø-L¨ng Méng Tr©m	0	103	29121	30	14000	0	200	18;18					29121	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Thóy Yªn ®Ö tö dïng trong ®ªm tr¨ng s¸ng, ®¹p ca khëi vò, trang søc d­íi ¸nh tr¨ng nh­ huyÒn ¶o, tªn lµ L¨ng Méng.	ĞÔ¸ĞÅ®Í·²¿019	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	29	0					
Thu NguyÖt Sø-L¨ng Méng Tr©m	0	103	29122	30	14000	0	200	18;18					29122	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Thóy Yªn ®Ö tö dïng trong ®ªm tr¨ng s¸ng, ®¹p ca khëi vò, trang søc d­íi ¸nh tr¨ng nh­ huyÒn ¶o, tªn lµ L¨ng Méng.	½¿Ğ¡Å®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	29	0					
TÇm H­¬ng Ph¸t Tr©m	0	103	30101	20	2	0	120	8;12					30101	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Tr©m tãc cña ®Ö tö Thóy Yªn Linh N÷ hay cµi, v« cïng tinh tÕ.	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	30	0					
TÇm H­¬ng Ph¸t Tr©m	0	103	30102	20	2	0	120	8;12					30102	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Tr©m tãc cña ®Ö tö Thóy Yªn Linh N÷ hay cµi, v« cïng tinh tÕ.	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	30	0					
Th¸m Ngäc §Çu Søc	0	103	30111	25	4000	0	150	10;15					30111	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao Thóy Yªn Linh N÷, kh¶m ngäc quı tinh x¶o, v« cïng gi¸ trŞ.	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	30	0					
Th¸m Ngäc §Çu Søc	0	103	30112	25	4000	0	150	10;15					30112	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Çu søc cña ®Ö tö cÊp cao Thóy Yªn Linh N÷, kh¶m ngäc quı tinh x¶o, v« cïng gi¸ trŞ.	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	30	0					
Nghi H­¬ng Sø-Mai Hoa Ph¸t Tr©m	0	103	30121	30	14000	0	200	18;18					30121	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§Çu søc cña Nghinh H­¬ng Sø, trªn cã h×nh hoa mai, kh¶m thªm b¶o ngäc, tinh tÕ vµ cao quı.	ĞÔ¸ĞÅ®Í·²¿019	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	30	0					
Nghi H­¬ng Sø-Mai Hoa Ph¸t Tr©m	0	103	30122	30	14000	0	200	18;18					30122	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§Çu søc cña Nghinh H­¬ng Sø, trªn cã h×nh hoa mai, kh¶m thªm b¶o ngäc, tinh tÕ vµ cao quı.	½¿Ğ¡Å®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	2	1	30	0					
B¸t Bé Thiªn Long §Çu Kh«i	0	103	231	30	30000	0	200	20;12					2031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	ThiÕu L©m tôc gia ®Ö tö ®­îc s­ m«n ban Thiªn Chóng ChiÕn Kh«i	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0					
B¸t Bé Thiªn Long §Çu Kh«i	0	103	232	30	30000	0	200	20;12					2032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	ThiÕu L©m tôc gia ®Ö tö ®­îc s­ m«n ban Thiªn Chóng ChiÕn Kh«i	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	2	0					
V« L­îng Ph¸p T«n ThiÒn §ŞnhM·o	0	103	331	30	30000	0	200	12;20					3031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	ThiÕu L©m thiÒn t¨ng ®Ö tö tu thµnh ®­îc ban ChÕ §Şnh M·o	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0					
V« L­îng Ph¸p T«n ThiÒn §ŞnhM·o	0	103	332	30	30000	0	200	12;20					3032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	ThiÕu L©m thiÒn t¨ng ®Ö tö tu thµnh ®­îc ban ChÕ §Şnh M·o	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	3	0					
B¸t B¶o La H¸n §¹i Thõa §ÇuKh«i	0	103	431	30	30000	0	200	20;12					4031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	ThiÕu L©m vâ t¨ng ngé chİnh gi¸c nh­ Nh­ Lai, ®­îc ban Chİnh Gi¸c Kh«i	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	4	0					
B¸t B¶o La H¸n §¹i Thõa §ÇuKh«i	0	103	432	30	30000	0	200	20;12					4032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	ThiÕu L©m vâ t¨ng ngé chİnh gi¸c nh­ Nh­ Lai, ®­îc ban Chİnh Gi¸c Kh«i	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	4	0					
Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0	103	631	30	30000	0	200	18;18					6031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	§­êng M«n thiªn c¬, thÇn diÖu thiªn c¬, ®Ö tö nÕu ngé ®­îc sù huyÒn diÖu cña c¬ quan, trao ThÇn diÖu ®Çu c©n lÊy tªn lµ Thiªn c¬ sø gi¶.	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	6	0					
Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0	103	632	30	30000	0	200	18;18					6032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	§­êng M«n thiªn c¬, thÇn diÖu thiªn c¬, ®Ö tö nÕu ngé ®­îc sù huyÒn diÖu cña c¬ quan, trao ThÇn diÖu ®Çu c©n lÊy tªn lµ Thiªn c¬ sø gi¶.	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	6	0					
Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0	103	633	30	30000	0	200	18;18					6033	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	§­êng M«n thiªn c¬, thÇn diÖu thiªn c¬, ®Ö tö nÕu ngé ®­îc sù huyÒn diÖu cña c¬ quan, trao ThÇn diÖu ®Çu c©n lÊy tªn lµ Thiªn c¬ sø gi¶.	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	6	0					
Thiªn C¬ Sø Gi¶ ThÇn TriÖu C©n	0	103	634	30	30000	0	200	18;18					6034	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	§­êng M«n thiªn c¬, thÇn diÖu thiªn c¬, ®Ö tö nÕu ngé ®­îc sù huyÒn diÖu cña c¬ quan, trao ThÇn diÖu ®Çu c©n lÊy tªn lµ Thiªn c¬ sø gi¶.	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	6	0					
B¹ch Liªn Tiªn Tö B¶o UÈn KÕ	0	103	831	30	30000	0	200	12;20					8031	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	PhËt ph¸p tinh th©m, v¹n t­íng v« biªn ngò uÈn giai kh«ng. Nga My phËt gia ®Ö tö nÕu gi¸c ngé ®­îc ban B¶o UÈn KÕ.	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	8	0					
B¹ch Liªn Tiªn Tö B¶o UÈn KÕ	0	103	832	30	30000	0	200	12;20					8032	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	PhËt ph¸p tinh th©m, v¹n t­íng v« biªn ngò uÈn giai kh«ng. Nga My phËt gia ®Ö tö nÕu gi¸c ngé ®­îc ban B¶o UÈn KÕ.	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	8	0					
Ngäc VËn Tiªn Tö HuyÒn Hån KÕ	0	103	931	30	30000	0	200	18;18					9031	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	Tu thµnh Ngäc VËn Tiªn Tö, ®­îc ban HuyÒn Hån KÕ.	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	9	0					
Ngäc VËn Tiªn Tö HuyÒn Hån KÕ	0	103	932	30	30000	0	200	18;18					9032	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	Tu thµnh Ngäc VËn Tiªn Tö, ®­îc ban HuyÒn Hån KÕ.	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	9	0					
Long §Çu ThÇn C¸i §»ng V©n C©n	0	103	1131	30	30000	0	200	20;12					11031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	C¸i Bang TŞnh Y ®Ö tö, cã tªn lµ Long §Çu ThÇn C¸i, ®­îc ban Th¾ng V©n C©n	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	11	0					
Long §Çu ThÇn C¸i §»ng V©n C©n	0	103	1132	30	30000	0	200	20;12					11032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	C¸i Bang TŞnh Y ®Ö tö, cã tªn lµ Long §Çu ThÇn C¸i, ®­îc ban Th¾ng V©n C©n	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	11	0					
Long §Çu ThÇn C¸i §»ng V©n C©n	0	103	1133	30	30000	0	200	20;12					11033	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	C¸i Bang TŞnh Y ®Ö tö, cã tªn lµ Long §Çu ThÇn C¸i, ®­îc ban Th¾ng V©n C©n	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	11	0					
Long §Çu ThÇn C¸i §»ng V©n C©n	0	103	1134	30	30000	0	200	20;12					11034	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	C¸i Bang TŞnh Y ®Ö tö, cã tªn lµ Long §Çu ThÇn C¸i, ®­îc ban Th¾ng V©n C©n	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	11	0					
KhÊt Thiªn ThÇn C¸i V©n Du C©n	0	103	1231	30	30000	0	200	18;18					12031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	C¸i Bang du hiÖp, tiªu diªu tù t¹i ®­îc ban V©n Du C©n lµm KhÊt Thiªn ThÇn C¸i	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	12	0					
KhÊt Thiªn ThÇn C¸i V©n Du C©n	0	103	1232	30	30000	0	200	18;18					12032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	C¸i Bang du hiÖp, tiªu diªu tù t¹i ®­îc ban V©n Du C©n lµm KhÊt Thiªn ThÇn C¸i	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	12	0					
KhÊt Thiªn ThÇn C¸i V©n Du C©n	0	103	1233	30	30000	0	200	18;18					12033	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	C¸i Bang du hiÖp, tiªu diªu tù t¹i ®­îc ban V©n Du C©n lµm KhÊt Thiªn ThÇn C¸i	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	12	0					
KhÊt Thiªn ThÇn C¸i V©n Du C©n	0	103	1234	30	30000	0	200	18;18					12034	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	C¸i Bang du hiÖp, tiªu diªu tù t¹i ®­îc ban V©n Du C©n lµm KhÊt Thiªn ThÇn C¸i	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	12	0					
Ch­ëng Kinh Thanh Quang C©n	0	103	1431	30	30000	0	200	12;20					14031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	Vâ §ang ®¹o gia ®Ö tö, néi c«ng v­ît mäi c¶nh giíi, phong Ch­ëng Kinh ®¹o nh©n vµ ban Thanh Quang Ph¸p C©n	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	14	0					
Ch­ëng Kinh Thanh Quang C©n	0	103	1432	30	30000	0	200	12;20					14032	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	Vâ §ang ®¹o gia ®Ö tö, néi c«ng v­ît mäi c¶nh giíi, phong Ch­ëng Kinh ®¹o nh©n vµ ban Thanh Quang Ph¸p C©n	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	14	0					
Ch­ëng Kinh Thanh Quang C©n	0	103	1433	30	30000	0	200	12;20					14033	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	Vâ §ang ®¹o gia ®Ö tö, néi c«ng v­ît mäi c¶nh giíi, phong Ch­ëng Kinh ®¹o nh©n vµ ban Thanh Quang Ph¸p C©n	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	14	0					
Ch­ëng Kinh Thanh Quang C©n	0	103	1434	30	30000	0	200	12;20					14034	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	Vâ §ang ®¹o gia ®Ö tö, néi c«ng v­ît mäi c¶nh giíi, phong Ch­ëng Kinh ®¹o nh©n vµ ban Thanh Quang Ph¸p C©n	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	14	0					
Th¸i Êt T¶n Nh©n H¹o Nhiªn C©n	0	103	1531	30	30000	0	200	18;18					15031	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	Vâ §ang tôc gia tu Th¸i Cùc ThÇn C«ng, ®­îc ban H¹o Nhiªn C©n	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	15	0					
